电影名,导演,主演,年份,电影类型,评分,评语,电影海报
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont   ,蒂姆·罗宾斯 Tim Robbins /...,1994,犯罪 剧情,9.7,希望让人自由。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.webp
霸王别姬,陈凯歌 Kaige Chen   ,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,剧情 爱情 同性,9.6,风华绝代。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.webp
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis   ,汤姆·汉克斯 Tom Hanks / ...,1994,剧情 爱情,9.5,一部美国近现代史。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.webp
这个杀手不太冷,吕克·贝松 Luc Besson   ,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,剧情 动作 犯罪,9.4,怪蜀黍和小萝莉不得不说的故事。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.webp
泰坦尼克号,詹姆斯·卡梅隆 James Cameron   ,莱昂纳多·迪卡普里奥 Leonardo...,1997,剧情 爱情 灾难,9.4,失去的才是永恒的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.webp
美丽人生,罗伯托·贝尼尼 Roberto Benigni   ,罗伯托·贝尼尼 Roberto Beni...,1997,剧情 喜剧 爱情 战争,9.6,最美的谎言。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.webp
千与千寻,宫崎骏 Hayao Miyazaki   ,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,剧情 动画 奇幻,9.4,最好的宫崎骏，最好的久石让。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.webp
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg   ,连姆·尼森 Liam Neeson...,1993,剧情 历史 战争,9.5,拯救一个人，就是拯救整个世界。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.webp
盗梦空间,克里斯托弗·诺兰 Christopher Nolan   ,莱昂纳多·迪卡普里奥 Le...,2010,剧情 科幻 悬疑 冒险,9.3,诺兰给了我们一场无法盗取的梦。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.webp
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström   ,理查·基尔 Richard Ger...,2009,剧情,9.4,永远都不能忘记你所爱的人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.webp
